"Designator","Mid X","Mid Y","Layer","Rotation"
"U1","152.36mm","-140.59mm","top","180.0"
"J1","137mm","-56mm","top","90.0"
"L3","138.22mm","-101.22mm","top","90.0"
"C1","131mm","-57mm","top","0.0"
"C2","150.41mm","-57mm","top","0.0"
"C3","131mm","-54mm","top","0.0"
"C4","150.5mm","-54mm","top","0.0"
